Time (seconds),RMSE (meters)
0,6.136463374738195
1,3.9544098239748378
2,1.5796309978239509
3,3.262043800519121
4,4.127584413143661
5,1.7389161176068015
6,5.03018781186517
7,6.58061439935603
8,8.322241340864522
9,8.50451238516913
10,8.779702588285886
11,9.028445774986603
12,9.263896513462033
13,9.468169282617582
14,9.67214588590433
15,9.917197591505767
16,10.163552699676805
17,10.353551861432235
18,10.563043145738764
19,11.065935629650172
20,11.266436443909171
21,11.448357960918575
22,11.610702477867973
23,11.725477226877913
24,11.823405527312346
25,12.009450375613172
26,12.217033557785905
27,12.355162339315202
28,12.524427254194869
29,12.554974990723265
30,12.663380415845413
31,12.76660045778091
32,12.858152999871601
33,12.995820680570057
34,13.008333941366404
35,12.968143211594047
36,12.891158732809231
37,12.853741879778584
38,12.826287575168177
39,12.815756879755408
40,12.528807761384009
41,12.405083832636508
42,12.174932112848051
43,11.904584162461605
44,11.638364997860942
45,11.253593491206088
46,11.021840741491985
47,10.77118322427176
48,10.523841407624012
49,10.235606452308001
50,9.868390989564638
51,9.602967978263496
52,9.344083676138295
53,9.188981835741249
54,8.90065376327392
55,8.721651309805319
56,8.483375789063835
57,8.265174894183371
58,8.052514026551595
59,7.885947905752698
60,7.666441083518915
61,7.370801846071838
62,7.185543750033884
63,7.211525668573178
64,7.0040489607993095
65,6.799986793265161
66,6.661729018829299
67,6.422580501378502
68,6.237589754031044
69,5.969033573159039
70,5.740278599545054
71,5.561834180261481
72,5.288825905703456
73,4.979063177932242
74,4.504485346317496
75,4.5977898734942
76,4.499197117449338
77,4.462972941541161
78,4.209191539926641
79,3.926680562939962
80,3.7101118767487087
81,3.321134362109496
82,3.1338551669668218
83,2.8675926595686287
84,2.745842077101905
85,2.640402299602312
86,2.6780254962283796
87,2.616367632138629
88,2.698768248768113
89,2.716733676554679
90,2.9598731459149814
91,3.0655148363272544
92,3.1526083762457695
93,3.3110314854940133
94,3.4888265480558776
95,3.696284956203485
96,3.652789883613849
97,3.8586463986563198
98,4.05254782471464
99,4.218046362715901
100,4.39956098288893
101,4.387155778419865
102,4.5254218780993885
103,4.710091976407199
104,4.940826621646413
105,5.208430998648434
106,5.197476253502098
107,5.4322628114552955
108,5.6510112400022114
109,5.914465478345995
110,6.091422430734733
111,6.09715390257422
112,6.386524207588262
113,6.641057421202502
114,6.682080881144482
115,6.882028479071989
116,7.103408849327496
117,7.0675470920791055
118,7.291794963109556
119,7.307315032402824
120,7.506626656064748
121,7.776943148718454
122,7.757958091747581
123,7.957434016100675
124,7.997844248683007
125,8.062225424453985
126,7.975420063877254
127,7.9296264569587525
128,7.862404141991582
129,7.816966599237456
130,7.499170710238784
131,7.363094804356143
132,7.03603869473129
133,6.895150177182666
134,6.869802589804768
135,6.526096665206958
136,6.532224646381808
137,6.3006358199265575
138,6.314779657579343
139,6.2977211734055825
140,5.949623673664121
141,5.74123555285547
142,5.482988909568962
143,5.330934056100717
144,5.11445132716434
145,5.069207798205808
