Time (seconds),RMSE (meters)
0,1.8825689283091895
1,2.213995463500498
2,3.0908862795752223
3,3.1043087880763083
4,2.8409556021107902
5,2.7704891058017305
6,2.7163001661529216
7,2.6653983575805875
8,0.9407482096920307
9,0.27911331275775164
10,0.2615469792999304
11,0.3024692681434238
12,0.22774466038136856
13,0.28776847509436915
14,0.205064251233016
15,0.20000725490854315
16,0.2794528693406182
17,0.2019518530043403
18,0.2689741303127209
19,0.1946169655831712
20,0.25454404585043466
21,0.21829328178934532
22,0.21013307991636165
23,0.23901137918362858
24,0.2224174886732686
25,0.22828592643260381
26,0.23308418743968817
27,0.21013731690805112
28,0.22369507861178847
29,0.2276460051759174
30,0.23131136751062725
31,0.2325761436440229
32,0.18259197586287765
33,0.23798850988386244
34,0.17950175086514547
35,0.253102189555671
36,0.26639490409383665
37,0.18694934387584636
38,0.2209432884164462
39,0.21712552300504517
40,0.1689654970466176
41,0.18670524148247766
42,0.18934280843068946
43,0.182441487926084
44,0.2365055620162221
45,0.23604475867662653
46,0.17923358314573087
47,0.24479999664091293
48,0.229685101285752
49,0.1612459207166524
50,0.22236998666549926
51,0.21240943263213374
52,0.13058148184411106
53,0.1820874330050027
54,0.1597228981344092
55,0.10403178071460216
56,0.17826230677630958
57,0.09903142134695431
58,0.037478441721594445
59,0.055424697675547654
60,0.0667037564620873
61,0.06628198196493139
62,0.06115598143385053
63,0.06087472536364904
64,0.024380760554709276
65,0.032507898737003375
66,0.04611599583333161
67,0.09595220540997025
68,0.019669715718589897
69,0.014248834803027481
70,0.06886731167074686
71,0.016541294590163576
72,0.05871681628266596
73,0.035640473096326564
74,0.0235446906881689
75,0.0646154403483982
76,0.013008134115151232
77,0.0062342906344760255
78,0.0795784828876264
79,0.007458791761865914
