Time (seconds),RMSE (meters)
0,6.269706953663367
1,6.071070234954606
2,5.8082563315915365
3,5.67860690660712
4,7.845737618038498
5,6.843299173630309
6,4.222819714084892
7,0.8952956941327368
8,0.39467917738973
9,0.4939909191677585
10,10.07549322228165
11,10.183240384141271
12,5.844436894884758
13,6.090372817971961
14,7.281616134668618
15,7.796700691887418
16,6.671278098604642
17,10.114717775006403
18,10.317501498424466
19,7.689029240491996
20,4.524485801043809
21,4.499157864622284
22,3.7836150753536577
23,3.684842832975889
24,11.42390080410436
25,11.611225631735204
26,11.803132356610767
27,7.8282359327744855
28,8.531626462160537
29,5.115868330760929
30,2.8835228133744466
31,0.21936074051673718
32,0.2938768502260614
33,0.388392462395548
34,0.3346064439287766
35,0.3432258082859454
36,0.31427135972532333
37,0.3158461309980077
38,0.327185009166704
39,0.3130454311881758
40,0.4153523652737084
41,0.5094354603127549
42,0.32435839453456433
43,0.29504369935926456
44,0.3039442530619876
45,0.3231751454771964
46,0.4051671878779141
47,0.3626635325284
48,0.2565347859648926
49,0.2835175189998016
50,0.2590833328850252
51,0.2837389524690274
52,0.23281988516691082
53,0.19088552326720007
54,0.08727405065808357
55,0.026398059672669175
56,0.1447315802489726
57,0.11225054147118678
58,0.21203957215952549
59,0.24874236561607202
60,0.13141781365065874
61,0.09561731555021373
62,0.08480969859006371
63,0.07682096814412841
64,0.08586265861565298
65,0.13763096856400914
66,0.08081587289549128
67,0.012493996860554718
68,0.1317128479069372
69,0.16472920251681925
70,0.3355994369011426
71,0.3313842300476663
72,0.36417060611094776
73,0.520720230128483
74,0.6819639694672202
75,0.7401722359768725
76,0.549284955238805
77,0.5387679450328093
78,0.3735755253225538
79,0.2724222321773295
80,0.17844304220150634
81,0.18921605819904608
82,0.0878616842536002
83,0.2032231555485217
84,0.40092793968308443
85,0.28996844309279585
86,0.22404652790103058
87,0.26282574645875983
88,0.27810467520054005
89,0.33541992940390336
90,0.4360579172816502
91,0.4993595301733156
92,0.5749267161591095
93,0.6272182968714083
94,0.5337738388195152
95,0.6310919265402625
96,0.48745793378127866
97,0.37099710221051935
98,0.3701939229813522
99,0.5107384566650411
100,0.4690252201412768
101,0.5556622160776314
102,0.5791814316766937
103,0.628511637646883
104,0.37286089592459437
105,0.4018439888450314
106,0.18943426041477604
107,0.04899615858910138
108,0.0638663290536483
109,0.03708008527398549
110,0.181471255158111
111,0.11353186483921938
112,0.056783545724066235
113,0.07498736877219948
114,0.09122117443525093
115,0.03443354118991943
116,0.12248738935525026
117,0.10022555694916169
118,0.1196141247564952
119,0.10245405117350931
120,0.037663200336747825
121,0.05946692462167585
122,0.19793227112142162
123,0.146434778718698
124,0.12151191161212327
125,0.10613088851071413
126,0.09657858693761301
127,0.17897119590185104
128,0.2503083691679653
129,0.21276207571177558
130,0.23653006967879509
131,0.1400679542592178
132,0.16362803799578055
133,0.11505165210932526
134,0.12432519602829711
135,0.14488581030179654
136,0.20050458005961347
137,0.3379001041387183
138,0.25654308074325277
139,0.2568341350367739
140,0.33063261783374853
141,0.6933512900281149
142,0.8319497188255878
143,0.7738878825608061
144,0.8736899305639735
145,0.8705744397753665
146,0.8341364130830003
147,0.5123305182332835
148,0.6713167045066823
149,0.4268730405576843
150,0.5332495535394228
151,0.25605053313906095
152,0.17198554116075018
153,0.14047022303205284
154,0.14864989247007201
155,0.20418484974506795
156,0.21590279423960046
157,0.1403565745818886
158,0.09815234775085342
159,0.14067037760993237
160,0.16135647943342307
161,0.20905193225338425
162,0.259361474756218
163,0.33216530713903936
164,0.36485294958060643
165,0.38099069810453806
166,0.45153792699770146
167,0.6066751627852062
168,0.5074277886109873
169,0.5629469947680051
170,0.544570576242117
171,0.3928992238590336
172,0.636783979377572
173,0.6269789716477824
174,0.6912794465091099
175,0.5385009673175023
176,0.429684987825071
177,0.7053198617105878
178,0.4662527675081667
179,0.2658044372524605
180,0.3674636353857481
181,0.5060530612690173
182,0.5453635245106819
183,0.44220267201267327
184,0.5876996113227614
185,0.36845979275742713
186,0.6436709720696955
187,0.45597323240793936
188,0.5204133116754832
189,0.5882243110922698
190,0.4242035073477842
191,0.343593788604329
192,0.16735568148796953
193,0.08890647091306911
194,0.3631651655199458
195,0.22504990083858914
196,0.38338090316975443
197,0.35340794728837466
198,0.38656131137170047
199,0.5123158373837836
200,0.5360721041940627
201,0.5457317838732455
202,0.5658884959905754
203,0.5245327767808639
204,0.5028795966776275
205,0.3312267079659892
206,0.3597129849694724
207,0.4175851273722231
208,0.41466311342377565
209,0.48697499011936807
210,0.41698978127318487
211,0.5180690130058158
212,0.45845091137189387
213,0.5683187954778818
214,0.33940386622685287
215,0.64459008034628
216,0.48415812121968227
217,0.5704264955818716
218,0.5243979019137686
219,0.6508771254988029
220,0.6077643381142982
221,0.17450660630225254
222,0.6332634898851213
223,0.5666369707960414
224,0.32364596497273174
225,0.3615729087538612
226,0.4155338101909645
227,0.4586698641085544
228,0.722939935116812
229,0.49156954506702794
230,0.6129002048815491
231,0.6260319769942437
232,0.8200273476790468
233,0.8747885537011055
234,0.9322037882455992
235,1.0416797008966634
236,0.18638272555860008
237,0.08969046587531006
238,0.2311956909752488
239,0.18522128363677173
240,0.1009200617582307
241,0.2625971936880015
242,0.14563671672558723
243,0.10492112083545295
244,0.08791906484934232
245,0.009398432403506577
246,0.022867586656871886
247,0.1092732948163833
248,0.1572010370059173
249,0.3451760886895263
250,0.42048108937303696
251,0.5891250127654816
252,0.25093963523407514
253,0.25093963523407514
