Time (seconds),RMSE (meters)
0,6.936230470614237
1,6.303790773941904
2,7.248558112921215
3,8.084209694648953
4,7.455367724175792
5,7.45733252554233
6,7.21688796304376
7,7.142572208985132
8,7.990965175385895
9,7.112505194722338
10,7.9948788751470286
11,7.526039053180375
12,6.255358528868344
13,6.59303537679817
14,5.888790939512508
15,5.964491751251597
16,5.395461425846074
17,5.074048336720486
18,4.923378356333553
19,5.054586857580743
20,5.793497611894324
21,4.978420664245782
22,3.9530930621287177
23,2.9984089844603248
24,3.291414249239872
25,2.8199073201543032
26,2.8056935130622866
27,2.59508432665828
28,2.340075562956716
29,2.4110812264443173
30,2.29561359192495
31,1.313857871373487
32,1.822068046485287
33,1.7971734924628961
34,0.8966684816835194
35,1.4403867132969725
36,1.2434448082922176
37,0.8942842657244384
38,0.6902945250934833
39,0.835310306507093
40,0.664769089255874
41,0.6197662554660477
42,0.7219465466840038
43,0.658788758487552
44,0.6380478656355296
45,0.7641828942895901
46,0.8559649420385155
47,0.8874350289671973
48,0.8275000053851093
49,0.8017451603478778
50,0.9310088775473473
51,0.9821742096123852
52,1.1302230752055327
53,1.2285530767904598
54,1.228226978510818
55,1.3379195977980518
56,1.188446678181489
57,1.232225923138041
58,1.4278487599466931
59,1.731026559075298
60,1.3583655672476747
61,1.1113491951973091
62,0.9782959249850173
63,0.9350652588054821
64,0.7248600134266712
65,0.5969339527693558
66,0.6098935787185825
67,0.571457994547184
68,0.6287260368061952
69,0.6683554195695683
70,0.8154008484365451
71,0.9472306365585513
72,1.0706911345471826
73,1.171003004695528
74,1.0907407952120285
75,1.2689448772534289
76,1.1601197259969875
77,1.072488310108605
78,0.7676434737134405
79,0.8389868384815925
80,0.8091728032072766
81,0.25565049392898176
82,0.2656486124198474
83,0.25849166721653805
84,0.31029931405064176
85,0.30165999649725805
86,0.302645325327248
87,0.3815285248822904
88,0.43153101424182505
89,0.46547532240241524
90,0.579122159722839
91,0.6814044807427608
92,0.6718202211399575
93,0.6458096396170564
94,0.5042586330544886
95,0.5130418960106206
96,0.538996132061492
97,0.47935173980409707
98,0.3845372363867954
99,0.36079368980102317
100,0.28969448764979555
101,0.33639944792324555
102,0.3452472323045327
103,0.4771831319231872
104,0.3698670236545549
105,0.1940417469568953
106,0.25593320301063555
107,0.15711399848152088
108,0.15011872388953076
109,0.1579276414049401
110,0.14432435112117514
111,0.14476468778169332
112,0.173242883849209
113,0.10033983706944682
114,0.13234509207195883
115,0.0952590344396064
116,0.12340680825996524
117,0.10916894033321407
118,0.10745089297921415
119,0.11211223584698064
120,0.13962481770131546
121,0.17425357729689775
122,0.1693758065215149
123,0.17336516706522592
124,0.1942320131642279
125,0.1925405899322075
126,0.17245710487885987
127,0.1877959355892129
128,0.17438997707426956
129,0.22264761656810653
130,0.18900128508244515
131,0.16947770207094687
132,0.15963603614571836
133,0.15938254421947637
134,0.14806656457655634
135,0.16685600104926207
136,0.1598024591726908
137,0.23502550595444366
138,0.28677397707136265
139,0.36006955974920457
140,0.4012481699601918
141,0.5300575848737147
142,0.6569927175335389
143,0.6095854975886994
144,0.6220535160072267
145,0.656342532637489
146,0.653998678113939
147,0.5846407706600738
148,0.5177072149009678
149,0.5389757536962755
150,0.5785025778104933
151,0.2967550258610736
152,0.1947536939130546
153,0.17340349042805253
154,0.16282904304649215
155,0.18389265547624362
156,0.17689606755078996
157,0.20296328532978186
158,0.1960049810658179
159,0.17094752906051652
160,0.21402923534424856
161,0.24943286699066505
162,0.2878474956350946
163,0.3263447668332835
164,0.39295818149587114
165,0.4388556805096536
166,0.47982001863277113
167,0.5099587220420532
168,0.5524974132871927
169,0.5913766554298838
170,0.519799104982855
171,0.5793980547780341
172,0.5132642407959784
173,0.4709132195745582
174,0.5712868779693656
175,0.48031178942384384
176,0.449293820851335
177,0.6211522662972431
178,0.5021305938874919
179,0.42389357805695244
180,0.41091068613745574
181,0.39183631582545625
182,0.3971160257933873
183,0.43059001272364217
184,0.5847522840642632
185,0.43658271048534847
186,0.5562047064284974
187,0.577496949431695
188,0.5688668258332485
189,0.5182613034565422
190,0.3683982720160832
191,0.2538683507015588
192,0.14088503182267403
193,0.13805267498579216
194,0.22657742363498357
195,0.24116072942430367
196,0.40064744578870465
197,0.4153002091949222
198,0.41559104250284723
199,0.474227116655495
200,0.5566394136489233
201,0.5531825109354122
202,0.5781977393939627
203,0.5201029470987912
204,0.42408746624753063
205,0.4330404448137098
206,0.37554481789027727
207,0.34618199830118945
208,0.37817495312247207
209,0.3901509262910523
210,0.3969820159514788
211,0.4052068669662935
212,0.40458895212290436
213,0.3906395638589243
214,0.3055718485598476
215,0.3287875576913125
216,0.38530014817099545
217,0.44913896470600145
218,0.48040702218592113
219,0.5180938094169376
220,0.3445908518469607
221,0.3213478547563302
222,0.3050299365487708
223,0.3191477270171761
224,0.27019571260968434
225,0.3814758528893841
226,0.37414485603166836
227,0.4505082914393424
228,0.5830411946593559
229,0.6366276832577906
230,0.71155076374459
231,0.7821774272099726
232,0.8227021319514096
233,1.0077283549780156
234,1.1596483427678759
235,1.1810644754505257
236,0.4277670377677129
237,0.13225779458069473
238,0.2710413628999099
239,0.21093705416970657
240,0.14455714106157844
241,0.10619982091118471
242,0.10657928021428195
243,0.12442166062478169
244,0.1292244553363616
245,0.10740762756711875
246,0.10796264372213515
247,0.14617010215758303
248,0.2714930755251886
249,0.3929650709825322
250,0.37808168202464804
251,0.42524369238172444
252,0.29018576261395007
253,0.281836598033282
