Time (seconds),Standard Error Mean
0,0.3220294288118603
1,0.2626110137820604
2,0.4144626888465412
3,0.3846938073623326
4,0.5739897524512012
5,0.5447152598358854
6,0.6349319980933481
7,0.6571878190635713
8,0.5780094204826339
9,0.6145585839278385
10,0.6427195344933756
11,0.939067212058527
12,0.9557064150457385
13,1.0365947202974897
14,1.0305040751173806
15,1.2192111016983533
16,0.9559258178987514
17,1.0068751011906099
18,0.8565471744939985
19,0.9745913930640687
20,0.9614780167761521
21,0.9108213283560886
22,0.5808230972770089
23,0.29335383355619904
24,0.8215952969012841
25,0.7988464327914948
26,1.0063649953310967
27,1.0675784781024826
28,1.109617595783177
29,1.125817054110968
30,1.195767881193291
31,0.4623364202099317
32,1.2675293354184387
33,1.1109862301118156
34,0.27146420774990077
35,0.7104644772549012
36,0.5588221048507878
37,0.3087218823928845
38,0.23219640357952248
39,0.27371403502820074
40,0.20672369288378858
41,0.20266572850781323
42,0.22637102387426505
43,0.2257370435258608
44,0.20717382404289675
45,0.19966976325976019
46,0.1920054761225436
47,0.17052838813724513
48,0.16187937659550966
49,0.11694092392387521
50,0.14870853449077368
51,0.1773389104652725
52,0.1840634487965283
53,0.1978385404368559
54,0.2177859929681153
55,0.21031977138872737
56,0.22074939883261124
57,0.2610363734969466
58,0.3989797596386053
59,0.536294474690249
60,0.3307925807230113
61,0.2684242033601859
62,0.28159584096313445
63,0.27975754219680465
64,0.3229020228571006
65,0.3464595400924608
66,0.3146527094575985
67,0.31702340131075135
68,0.301873608153645
69,0.32550003877663214
70,0.34403047016115895
71,0.36581454170097505
72,0.3772287981943651
73,0.3946513614122827
74,0.34551304978911757
75,0.392475594222535
76,0.3803728323295771
77,0.37858523164696134
78,0.3876766947423213
79,0.5919821020642712
80,0.6190572382620794
81,0.072833973517185
82,0.08253861082850704
83,0.07228044187173793
84,0.06254056371094432
85,0.07995819369410403
86,0.08861540116508308
87,0.09188372941114617
88,0.10489647761664518
89,0.09729168393662484
90,0.10268945039846256
91,0.08781293900906614
92,0.06672472397547735
93,0.04377366410597446
94,0.05419520837255595
95,0.07667168414428449
96,0.0842274784150187
97,0.09284966321233847
98,0.09432176954352815
99,0.08300020712167311
100,0.09940411092660534
101,0.11447801402093014
102,0.0702819626230509
103,0.07745223374637294
104,0.08709092148008304
105,0.06370445636231377
106,0.05780378230803198
107,0.03269961205116151
108,0.03270555710145568
109,0.022916897285017224
110,0.03718835391273958
111,0.03812381155632002
112,0.08848953149247743
113,0.015833188173414187
114,0.01387284013958856
115,0.014376248938800221
116,0.018284777896634973
117,0.022916836463976117
118,0.02160662977481764
119,0.03355571015771529
120,0.0299179009337992
121,0.037595298241336034
122,0.048255120727425285
123,0.0527437459997012
124,0.06691372816422443
125,0.06274417775588177
126,0.05169172736629272
