Time (seconds),Standard Deviation
0,0.00672637185828336
1,0.3392352736474103
2,0.4599463453652267
3,0.4680867406887617
4,0.47069069226762034
5,0.6011463928365947
6,0.6090284177916705
7,0.6392951369986003
8,0.6417818532899319
9,0.6426793334734228
10,0.6427419435635398
11,0.6427622491734724
12,0.6427995867496713
13,0.6430022583871098
14,0.6430025002730116
15,0.6433172917842986
16,0.6433173049402888
17,0.6436669360900001
18,0.6438280442551391
19,0.6438355240625939
20,0.6439195593570293
21,0.6440195541079182
22,0.6442472853983442
23,0.6457446696560035
24,0.6467602752684289
25,0.6481299134986476
26,0.6492631485305433
27,0.6505777100967414
28,0.6507824141863929
29,0.6524429669232912
30,0.6542985364945495
31,0.6548237072890555
32,0.6573699247659945
33,0.6595259193402623
34,0.6603502784387586
35,0.6625328886239665
36,0.6633855712456315
37,0.6666055168176777
38,0.6765804916259107
39,0.6811458080868126
40,0.6899112520893194
41,0.6977398226080963
42,0.7018556208537202
43,0.7093568439037101
44,0.7123943252112758
45,0.7131990944039278
46,0.7162607424796161
47,0.7187488004751021
48,0.7196748181526672
49,0.7224494521498042
50,0.7250024790356898
51,0.7261689620790447
52,0.7292724057562461
53,0.7321636778991617
54,0.7339582819740308
55,0.737262490164257
56,0.7389851645522931
57,0.7405864279491625
58,0.7430052929741692
59,0.7434679603796177
60,0.744876680135901
61,0.7453316263185926
62,0.7453393370479388
63,0.7453816664078362
64,0.7455384672860108
65,0.762688854437431
66,0.7865474654612519
67,0.8044873079275123
68,0.8187871458686302
69,0.8375338475435526
70,0.8509570088730869
71,0.8643053950927415
72,0.8804631856062837
73,0.8920879505534691
74,0.906698917103164
75,0.9199883513250032
76,0.92519064506673
77,0.9311815530645668
78,0.9370000923889225
79,0.9410985631655083
80,0.9412144493541108
81,0.9431106784974818
82,0.9444348204581633
83,0.9450087621470322
84,0.9451788750015654
85,0.9451791932569977
86,0.9580797378880436
87,0.9607570749663622
88,1.0283682748239011
89,1.038713249323161
90,1.040554608367215
91,1.0407083601842844
92,1.040745517256198
93,1.0407487642692845
94,1.0414569414215449
95,1.0414963336368892
96,1.04150089408864
97,1.0421225801818452
98,1.0421639475591875
99,1.0427537371484372
100,1.0433555434239508
101,1.0433997019907588
102,1.0434889551802469
103,1.0435181081253337
104,1.0437284686081512
105,1.0437396154032836
106,1.0437929156372316
107,1.0438241607268812
108,1.044039633023892
109,1.0440499858854646
110,1.044053630339946
111,1.0442306050100358
112,1.0442740840258058
113,1.0442744116319684
114,1.0444434005327454
115,1.044527550839058
116,1.044565319716938
117,1.0445679013845064
118,1.0446532660991215
119,1.0446588019147545
120,1.0446625179492248
121,1.0447188090117197
122,1.0447243107834656
123,1.0449669181954213
124,1.0452527293136122
125,1.0453041130143206
126,1.0455704615068644
127,1.0458755412755225
128,1.0458755880729687
129,1.0460634090273973
130,1.0461367342875398
131,1.0461376905179955
132,1.0461680506145146
133,1.046232509543278
134,1.0462451319268622
135,1.0462844115158845
136,1.0463087727073903
137,1.0464170357592468
138,1.046501874323781
139,1.0465024698683836
140,1.0465992363176921
141,1.0466482340173535
142,1.0466508469277123
143,1.0466516495865659
