Time (seconds),Standard Error Mean
0,0.002127065546143474
1,0.10727561273963124
2,0.14544780528245463
3,0.14802202431011002
4,0.1488454661007085
5,0.19009918085579677
6,0.1925916959990294
7,0.20216287299849572
8,0.20294924173602116
9,0.20323304988949087
10,0.2032528489384187
11,0.20325927013608527
12,0.20327107731439517
13,0.2033351677135373
14,0.2033352442045757
15,0.20343479002095102
16,0.2034347941812404
17,0.20354535725864353
18,0.20359630413379248
19,0.20359866945659416
20,0.20362524375002003
21,0.20365686486670706
22,0.2037288798239306
23,0.20420239430259898
24,0.20452355699657043
25,0.20495667463436373
26,0.20531503501687215
27,0.20573073588424254
28,0.20579546900120757
29,0.20632058188355004
30,0.20690736450375788
31,0.2070734380908818
32,0.20787862275540728
33,0.20856040810317236
34,0.20882109333928553
35,0.2095112952822394
36,0.2097809372028099
37,0.2107991733977539
38,0.21395353739743567
39,0.21539721722302654
40,0.21816909399808496
41,0.22064470536434308
42,0.22194623504893274
43,0.22431833005642507
44,0.22527886598463445
45,0.22553335634858598
46,0.22650153447989066
47,0.22728832750152353
48,0.22758116000299203
49,0.228458576313421
50,0.22926591430212556
51,0.2296347886290222
52,0.23061618369002265
53,0.2315304842207236
54,0.23209798785820415
55,0.23314287023265395
56,0.23368762770595702
57,0.23419399165275356
58,0.23495890393590768
59,0.23510521221594147
60,0.23555068851741473
61,0.23569455513242518
62,0.23569699347914067
63,0.23571037919805796
64,0.2357599639894726
65,0.24118339260469007
66,0.24872814786901765
67,0.2544012241748172
68,0.2589232299813397
69,0.2648514575721846
70,0.2690962338923068
71,0.2733173642464781
72,0.27842690624434363
73,0.2821029796940629
74,0.28672337300541967
75,0.2909258611010196
76,0.29257097082912925
77,0.29446546228169757
78,0.29630544597371966
79,0.29760149623148474
80,0.2976381426620187
81,0.2982377829678829
82,0.2986565134219984
83,0.29883800972009333
84,0.2988918041280531
85,0.2988919047692575
86,0.30297141517833365
87,0.3038180635014844
88,0.3251986021901519
89,0.328469970365554
90,0.3290522592224901
91,0.32910087981612296
92,0.3291126299139659
93,0.32911365670966053
94,0.32933760198846396
95,0.3293500589007208
96,0.32935150104218996
97,0.32954809544660796
98,0.32956117695993087
99,0.32974768480415934
100,0.32993799265823986
101,0.3299519568231721
102,0.32998018115989375
103,0.3299894001305914
104,0.330055921956131
105,0.33005944688225397
106,0.33007630189616355
107,0.3300861824610624
108,0.3301543207841846
109,0.33015759464647165
110,0.3301587471241706
111,0.3302147114287347
112,0.33022846070076023
113,0.3302285642989252
114,0.33028200328149954
115,0.3303086139448744
116,0.33032055751275136
117,0.3303213739077191
118,0.3303483686007185
119,0.3303501191793292
120,0.3303512942926082
121,0.33036909508954765
122,0.330370834902536
123,0.3304475541024379
124,0.3305379355138462
125,0.33055418446673085
126,0.33063841125550997
127,0.33073488594920963
128,0.3307349007478615
129,0.3307942949486916
130,0.33081748243189907
131,0.33081778481851987
132,0.33082738552401814
133,0.3308477692270609
134,0.3308517607752235
135,0.33086418207191004
136,0.3308718857570775
137,0.33090612154010823
138,0.33093294984984295
139,0.3309331381775822
140,0.3309637384156724
141,0.3309792328487763
142,0.3309800591235818
143,0.33098031294659797
