Time (seconds),RMSE (meters)
0,6.852191976654485
1,7.08340133174043
2,9.487335056604982
3,5.041533572105143
4,2.801612701870086
5,2.7008757788543867
6,1.4525081553782517
7,9.544394505482275
8,9.747588489574392
9,8.927570820569477
10,10.048660700393055
11,10.156231156878494
12,10.29196033000852
13,10.637158315179601
14,10.461048221689355
15,10.693099351657864
16,10.92482077313383
17,8.209519104045109
18,8.6240543245553
19,8.970532486388265
20,11.03688323517199
21,6.867902304688512
22,11.298192304057581
23,12.575978086896724
24,6.730660664317519
25,4.972958265842887
26,6.915685521768319
27,11.526419423282563
28,4.5808373094805965
29,0.7455740301443042
30,0.30476910801041013
31,0.17240662009343116
32,0.10446819737366268
33,0.10778786637030043
34,0.21966310951016702
35,0.24034302634119836
36,0.2534830538176117
37,0.28069669681384957
38,0.33153082539914475
39,0.3113325548590494
40,0.29423453133676797
41,0.2822111971063264
42,0.3600169770051671
43,0.38195695197101925
44,0.36932024622667536
45,0.4204473625584138
46,0.4550851900001702
47,0.45144406304341345
48,0.4033637335624813
49,0.38080094025022326
50,0.42609075709020255
51,0.4888555438890344
52,0.3980686741140598
53,0.39635068481391783
54,0.37002170207490553
55,0.441235286082985
56,0.0689967539086754
57,0.17632676393423666
58,0.09483209481138795
59,0.28120730114443376
60,0.27096218431881486
61,0.1572772745036581
62,0.12945626086017784
63,0.06344717329703158
64,0.0479909065268658
65,0.04427324474890077
66,0.1200072523889719
67,0.07555194448769861
68,0.08788819516140674
69,0.20663589462698906
70,0.3919390744640563
71,0.5101980387579541
72,0.5211202882086983
73,0.5350651585705646
74,0.5502612674962153
75,0.6383817140078746
76,0.54683399501081
77,0.37423797115398366
78,0.330396089268225
79,0.31486446274779406
80,0.15531361239079938
81,0.0378360277601782
82,0.09117537124086877
83,0.04685906230013383
84,0.2307007096241298
85,0.15962233088452382
86,0.25077526864134586
87,0.21362180781810045
88,0.20244106396223066
89,0.35949095326907304
90,0.48108224540986383
91,0.4820170058056103
92,0.48870279204284245
93,0.5521572802197534
94,0.45592794613542
95,0.37735915106820844
96,0.5296705910949576
97,0.30774110909554486
98,0.2777309764883565
99,0.2507940078166269
100,0.1479879139611246
101,0.19900699342728675
102,0.389723982218205
103,0.6888342972435072
104,0.7000735977553454
105,0.013017635337270817
106,0.1677814602392266
107,0.12183661522894633
108,0.09330845345204775
109,0.018867019823324636
110,0.08929611339858008
111,0.08791896826839823
112,0.04028755585131224
113,0.06603791412369886
114,0.16432875048051923
115,0.10225275081438917
116,0.10723655663636841
117,0.09051933242638892
118,0.12891672818364847
119,0.061008075747949496
120,0.04337001085767685
121,0.03912785272762098
122,0.046989918701643374
123,0.12662248854346722
124,0.18025355558122366
125,0.2552217365480446
126,0.18751775093699952
127,0.26649257017696043
128,0.20143200450501675
129,0.33265286968271524
130,0.3034681153590699
131,0.3267398068909902
132,0.3567126276111782
133,0.3096016900575152
134,0.19180298629338197
135,0.27856445673118224
136,0.0728707645927376
137,0.26198945588400324
138,0.29387917017727194
139,0.5064780608739047
140,0.3328229151530485
141,0.4854223110201033
142,0.6313962573670803
143,0.6017193823569897
144,0.7417836658384055
145,0.7466360743711548
146,0.8226320226547575
147,0.7464682314356749
148,0.6003116454688602
149,0.6316920408218119
150,0.7391671526616338
151,0.09966127138379838
152,0.18208826114063398
153,0.09717200943201659
154,0.1711757080197944
155,0.09229971116948482
156,0.18982242808721644
157,0.26853558142187195
158,0.21007502295102687
159,0.13113300553718096
160,0.1747421120839135
161,0.25394261677604835
162,0.29392860485209993
163,0.3770897884888472
164,0.47056599295808027
165,0.42635109980832947
166,0.5007369755617327
167,0.6230133964918385
168,0.6662626019084377
169,0.6927174998510925
170,0.5328827654745014
171,0.43489141895271294
172,0.3244722843881147
173,0.31222602333329263
174,0.4107726001435096
175,0.4123533303594187
176,0.18732605484833514
177,0.3937062780610899
178,0.27456701397291666
179,0.312761576949057
180,0.4110722056912552
181,0.36036505361739873
182,0.3393097295652497
183,0.36498032854299506
184,0.4596641694343505
185,0.3285052798143154
186,0.47345881150075114
187,0.5251468637701554
188,0.446344846557504
189,0.41771032221804
190,0.09934580591632305
191,0.06802134815485794
192,0.13746336502573456
193,0.23685026873096904
194,0.32879182405494195
195,0.3077053047000445
196,0.47430549366195257
197,0.5038347003458143
198,0.5550335004869827
199,0.5708729037848079
200,0.6487314348061551
201,0.5591395731842778
202,0.721197708085659
203,0.6836644967648932
204,0.6109433418167957
205,0.4413502973660422
206,0.3893852912859194
207,0.36655856255838853
208,0.4697631249155307
209,0.4512662117308342
210,0.40376819327410896
211,0.3717702390769785
212,0.19350610513064087
213,0.3769965690234534
214,0.3895346990149004
215,0.2790946363075875
216,0.4962004650865424
217,0.5127024714252757
218,0.5651654052771695
219,0.2771232587842689
220,0.06980332707006918
221,0.20605445651466478
222,0.22779099618252632
223,0.23764118985302407
224,0.3227570465326003
225,0.3727718790755571
226,0.22532444930469173
227,0.30487664177472035
228,0.4183097579171019
229,0.5393654647794845
230,0.6271884049733699
231,0.869222982153266
232,0.7084698149248505
233,0.8366362136777081
234,1.5878572806339035
235,1.6977795795249873
236,0.7601347531942285
237,0.2800763846463059
238,0.45922830741279924
239,0.34463330665385156
240,0.27047465410094496
241,0.18961469764426786
242,0.28458138370591046
243,0.3184903246010456
244,0.186289424998733
245,0.18148226332184084
246,0.15301712247921329
247,0.29551045030044243
248,0.40463289688070964
249,0.528379477597026
250,0.4367688564205285
251,0.4708137466326755
252,0.34956284097975837
253,0.34956284097975837
