Time (seconds),RMSE (meters)
0,5.795417070239701
1,9.00522369191047
2,9.380024879277588
3,9.340914408071715
4,9.266266367297769
5,9.165391538467455
6,8.11947737107623
7,9.10572609975079
8,9.184933836067687
9,10.15839084873196
10,10.142250848778552
11,10.364012197087275
12,10.540480218791108
13,10.62117251753341
14,10.747468210029535
15,8.452152111801151
16,4.401000788262342
17,10.50185625539369
18,8.777241720434745
19,7.262599453150961
20,11.310269593111586
21,12.241872174868709
22,11.766288681168739
23,12.629369607834043
24,3.6431207269704213
25,3.9834332562313817
26,4.013041404802278
27,4.224224085359603
28,4.018455681439086
29,3.945553942155253
30,3.8582913147607343
31,4.544929775103556
32,4.883884914937612
33,5.015492929703193
34,5.366444591603671
35,5.4300181586309515
36,5.570985827762614
37,5.569938695291084
38,5.580015944885782
39,5.648412921613284
40,5.384387044275741
41,4.6875719635477315
42,4.501837287111826
43,4.089852906882637
44,3.7301455322319197
45,3.617357463518438
46,3.258867402543878
47,2.9720186488567295
48,2.5721648014297354
49,2.0879970280702733
50,1.6073058425529754
51,1.4610791007090471
52,0.5916412352923696
53,0.29531465897849124
54,0.14957069797171288
55,0.46633973913416
56,0.8066441577327936
57,1.052631564055064
58,1.3547175356981729
59,1.6195441740482486
60,2.0462433031944642
61,2.4352420436506605
62,2.7477949599191995
63,2.938745872856939
64,3.2807678381370966
65,3.6732513701174674
66,4.101933419974585
67,4.495140243927694
68,4.793908358078832
69,4.990738852514323
70,5.430232834405351
71,5.723035103755082
72,5.75178822811163
73,5.974673941665869
74,6.159316392924504
75,6.198510651166987
76,6.350126711122149
77,6.409312166248139
78,6.551982841924958
79,6.648977026212361
80,6.5730610719355775
81,6.701393751561624
82,6.814209285192145
83,6.837029096841393
84,6.952387329815702
85,7.0475322030256065
86,7.150584073755501
87,7.244414950783696
88,7.364341632064108
89,7.361121596166653
90,7.427739701447707
91,7.33193441066305
92,7.17126181919439
93,6.948819210705684
94,6.671593245942895
95,6.605015935193905
96,6.304525094213709
97,5.938356444972609
98,5.707922954538176
99,5.579032242823278
100,5.3264308009726875
101,5.128704736267444
102,4.850022758959179
103,4.783524700357253
104,4.628719824602976
105,4.503038923599859
106,4.2954734284024
107,4.177118711700589
108,4.095803272321315
109,4.053727150053767
110,4.118226210445218
111,4.241908443701155
112,4.374674101665675
113,4.652647164593477
114,4.678190771881186
115,5.067701362536323
116,5.206872138646704
117,5.622923593226383
118,5.944250690424748
119,6.0167363910044385
120,6.262224009967401
121,6.355418108545581
122,6.596104020436459
123,6.88597925389608
124,6.993321407145887
125,6.997503674689636
126,6.870790849426878
127,6.764119659942191
128,6.556125146026478
129,6.327618988139705
130,5.692357568503523
131,5.516042760181576
132,5.307279894703786
133,5.135102267495865
134,5.025182028518141
135,4.994558041344682
136,4.835695054873611
137,4.812041865459818
138,4.555632547733639
139,4.568210860564327
140,4.337705879321095
141,4.1646738453835175
142,3.9481012017729125
143,3.8588685839105143
144,3.777418722212678
145,3.5682836767697887
146,3.587424767456568
147,3.492732209939798
148,3.431217177376801
149,3.3482634001952323
150,3.3502467558028863
151,3.200281924021304
152,3.348677828585341
153,3.541782099631327
154,3.6919110992733684
155,3.989189753752247
156,4.108300001944581
157,4.4257344735794755
158,4.847790703625871
159,5.223715533641629
160,5.4969316815574505
161,5.98303142015302
162,6.1973947949532
163,6.570227130290132
164,6.9644654260374885
165,7.389685919278042
166,7.781244979496046
167,8.074834765868228
168,8.258080257159504
169,8.586865219577145
170,9.000659204220861
171,9.119627170846355
172,9.510356111941322
173,9.775464704792189
174,10.070596599679975
175,10.320237025136631
176,10.623160783411148
177,10.767236582941111
178,10.984486535086667
179,11.268513339920155
180,11.605029104875916
181,11.894074817364157
182,12.201686170470941
183,12.268700949415733
184,12.472077739975218
185,12.661376453673336
186,4.846165606155811
187,8.050976089869508
188,8.65255881475769
189,7.241937254683073
190,6.379580005106089
191,3.905971680540804
192,0.7738743528571577
193,1.023512178810984
194,1.321974085696177
195,1.49035405909689
196,1.6837334628776692
197,1.5233219017289394
198,1.5244167700630882
199,1.476794295842979
200,1.4335456415878962
201,1.4097608937919472
202,1.041295958478176
203,0.7438510567947082
204,0.5088407484428602
205,0.5845085443813779
206,0.6595755184428986
207,0.9136613786140602
208,1.2272215998703753
209,1.597858409223397
210,2.0607464922336147
211,2.1837812548274806
212,2.461653929503779
213,2.6604039262924033
214,2.986605597675834
215,3.44168971806312
216,3.770352813016755
217,3.93767129070358
218,4.349369010814148
219,4.7444174352727835
220,5.298038491770727
221,5.479153619186557
222,5.826451910454326
223,5.900726757350337
224,6.213656707006172
225,6.646565164464559
226,7.09527035359075
227,7.546028585233305
228,7.941431912385894
229,7.919443835470057
230,8.217617076995058
231,8.473504632363845
232,8.72434583345138
233,8.975583821224184
234,9.198621052412864
235,9.199493457280402
236,9.450236283249739
237,9.680702994025129
238,9.958503587600983
239,10.168614152650605
240,10.397234702827497
241,10.407329554122793
242,10.652412198985717
243,10.892591747672272
244,11.13692081913127
245,11.379542086100182
246,11.604011233043726
247,11.613353483800973
248,11.848075462780274
249,12.07232817482551
250,12.331576249094349
251,12.56307155890052
252,12.550942427440145
253,12.529553487650286
